record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NA009,Assistive Technology for Adults on the Autism Spectrum: A Systematic Survey,Manhua Wang; Myounghoon Jeon,2023,International Journal of Human-Computer Interaction,journal,10.1080/10447318.2022.2163568,,https://doi.org/10.1080/10447318.2022.2163568,23,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA009,,,openalex-round2
R2NA010,WING: An Adaptive and Gamified Mobile Learning Platform for Neurodivergent Literacy,Mirella Emily Bezerra Santana; Cauã Otaviano Jordão; Vitória Karoline Justino dos Santos; Leonardo José Oliveira Ibiapina; Guilherme Silva; MANOELA MOREIRA CAVALCANTI; Lucas Rodrigues de Farias,2025,ArXiv.org,preprint,10.48550/arxiv.2512.16067,2512.16067,http://arxiv.org/abs/2512.16067,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA010,,,openalex-round2
R2NA012,"Me, My Health, and My Watch: How Children with ADHD Understand Smartwatch Health Data",Elizabeth Ankrah; Franceli L. Cibrian; Lucas M. Silva; Arya Tavakoulnia; Jesús A. Beltrán; Sabrina Schuck; Kimberley D. Lakes; Gillian R. Hayes,2022,ACM Transactions on Computer-Human Interaction,journal,10.1145/3577008,,https://doi.org/10.1145/3577008,32,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA012,,,openalex-round2
R2NA014,Understanding Autistic Adults' Use of Social Media,Martine van Driel; John Vines; Belén Barros Pena; Nelya Koteyko,2023,Proceedings of the ACM on Human-Computer Interaction,journal,10.1145/3610048,,https://doi.org/10.1145/3610048,16,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA014,,,openalex-round2
R2NA016,Beyond Compliance: A User-Autonomy Framework for Inclusive and Customizable Web Accessibility,A R Lalitha,2025,ArXiv.org,preprint,10.48550/arxiv.2506.10324,2506.10324,http://arxiv.org/abs/2506.10324,0,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA016,,,openalex-round2
R2NA019,Multisite usability and safety trial of an immersive virtual reality implementation of a work organization system for autistic learners: implications for technology design,Gerardo Herrera; Lucía Vera; Patricia Pérez-Fuster; Arturo López-Fernández; Álvaro López; Ümit Savaş-Taşkesen; Nigel Newbutt,2024,Educational Technology Research and Development,journal,10.1007/s11423-024-10422-5,,https://doi.org/10.1007/s11423-024-10422-5,6,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA019,,,openalex-round2
R2NA021,"The Nexus of AR/VR, AI, UI/UX, and Robotics Technologies in Enhancing Learning and Social Interaction for Children with Autism Spectrum Disorders: A Systematic Review",Biplov Paneru,2024,arXiv (Cornell University),review_article,10.48550/arxiv.2409.18162,2409.18162,http://arxiv.org/abs/2409.18162,2,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA021,,,openalex-round2
R2NA022,Digital divides in nursing students: an exploration of the relationship between self-perceived digital competencies and digital barriers,Konstantina Martzoukou; Errol Sadullah Luders; Fiona Work; Πέτρος Κωσταγιόλας; Neil Johnson,2025,Journal of Documentation,journal,10.1108/jd-09-2024-0209,,https://doi.org/10.1108/jd-09-2024-0209,3,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA022,,,openalex-round2
R2NA023,"Neurovascular Shifts, Sensory Sensitivity, and PMDD in Autistic Women: Exploring Blood Flow Redirection, Mood Dysregulation, and Pain Tolerance during Menstruation",Hutson Piper; James Hutson,2024,Journal of Community Medicine and Health Solutions,journal,10.29328/journal.jcmhs.1001049,,https://doi.org/10.29328/journal.jcmhs.1001049,1,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA023,,,openalex-round2
R2NA024,Breaking the Cycle: Holistic Digital Solutions for Overlooked Challenges of Children with Special Needs in Socio-Economically Disadvantaged Communities,Neluwa-Liyanage R. Indika; Nawoda Hewage; Hapu-Arachchige Harshana; Udara D. Senarathne; Anusha Kaneshapillai; Shaampavei Mahendrarajah; Samaraweera-Arachchige Kumara,2025,Societies,journal,10.3390/soc15090234,,https://doi.org/10.3390/soc15090234,1,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA024,,,openalex-round2
R2NA025,Integrating AI into ADHD Therapy: Insights from ChatGPT-4o and Robotic Assistants,Jonnathan Berrezueta-Guzmán; Mohanad Kandil; Stefan Wagner,2025,Human-Centric Intelligent Systems,journal,10.1007/s44230-025-00099-1,,https://doi.org/10.1007/s44230-025-00099-1,3,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA025,,,openalex-round2
R2NA026,Females with ADHD: An expert consensus statement taking a lifespan approach providing guidance for the identification and treatment of attention-deficit/ hyperactivity disorder in girls and women,Susan Young; Nicoletta Adamo; Bryndís Björk Ásgeirsdóttir; Polly Branney; Michelle Beckett; William Colley; Sally Cubbin; Quinton Deeley,2020,BMC Psychiatry,journal,10.1186/s12888-020-02707-9,,https://doi.org/10.1186/s12888-020-02707-9,446,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA026,,,openalex-round2
R2NA027,"Disability digital divide: the use of the internet, smartphones, computers and tablets among people with disabilities in Sweden",Stefan Johansson; Jan Gulliksen; Catharina Gustavsson,2020,Universal Access in the Information Society,journal,10.1007/s10209-020-00714-x,,https://doi.org/10.1007/s10209-020-00714-x,200,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA027,,,openalex-round2
R2NA028,A Review of Machine Learning Methods of Feature Selection and Classification for Autism Spectrum Disorder,Md. Mokhlesur Rahman; Opeyemi Lateef Usman; Ravie Chandren Muniyandi; Shahnorbanun Sahran; Suziyani Mohamed; Rogayah A. Razak,2020,Brain Sciences,review_article,10.3390/brainsci10120949,,https://doi.org/10.3390/brainsci10120949,169,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA028,,,openalex-round2
R2NA029,A Review of Machine Learning and Deep Learning Approaches on Mental Health Diagnosis,Ngumimi Karen Iyortsuun; Soo-Hyung Kim; Min Jhon; Hyung-Jeong Yang; Sudarshan Pant,2023,Healthcare,review_article,10.3390/healthcare11030285,,https://doi.org/10.3390/healthcare11030285,250,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA029,,,openalex-round2
R2NA031,Augmented Reality for Learning of Children and Adolescents With Autism Spectrum Disorder (ASD): A Systematic Review,Kamran Khowaja; Bilikis Banire; Dena Al‐Thani; Mohammed Tahri Sqalli; Aboubakr Aqle; Asadullah Shah; Siti Salwah Salim,2020,IEEE Access,review_article,10.1109/access.2020.2986608,,https://doi.org/10.1109/access.2020.2986608,142,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA031,,,openalex-round2
R2NA032,ADHD and Technology Research – Investigated by Neurodivergent Readers,Katta Spiel; Eva Hornecker; Anna Williams; Judith Good,2022,CHI Conference on Human Factors in Computing Systems,journal,10.1145/3491102.3517592,,https://doi.org/10.1145/3491102.3517592,120,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA032,,,openalex-round2
R2NA033,Effectiveness of Virtual/Augmented Reality–Based Therapeutic Interventions on Individuals With Autism Spectrum Disorder: A Comprehensive Meta-Analysis,Behnam Karami; Roxana Koushki; Fariba Arabgol; Maryam Rahmani; Abdol‐Hossein Vahabie,2021,Frontiers in Psychiatry,journal,10.3389/fpsyt.2021.665326,,https://doi.org/10.3389/fpsyt.2021.665326,151,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA033,,,openalex-round2
R2NA034,Artificial intelligence in positive mental health: a narrative review,Anoushka Thakkar; Ankita Gupta; Avinash De Sousa,2024,Frontiers in Digital Health,review_article,10.3389/fdgth.2024.1280235,,https://doi.org/10.3389/fdgth.2024.1280235,189,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA034,,,openalex-round2
