record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NE018,The experiences of medical students with ADHD: A phenomenological study,Megan Godfrey‐Harris; Sebastian C. K. Shaw,2023,PLoS ONE,journal,10.1371/journal.pone.0290513,,https://doi.org/10.1371/journal.pone.0290513,38,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE018,,,openalex-round2
R2NE019,Neurodiversity and cognitive load in online learning: A systematic review with narrative synthesis,Anne‐Laure Le Cunff; Vincent Giampietro; Eleanor J. Dommett,2024,Educational Research Review,review_article,10.1016/j.edurev.2024.100604,,https://doi.org/10.1016/j.edurev.2024.100604,19,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE019,,,openalex-round2
R2NE020,Autism in Higher Education: dissonance between educators’ perceived knowledge and reported teaching behaviour,Rhoda von Below; Elliott Spaeth; Chiara Horlin,2021,International Journal of Inclusive Education,journal,10.1080/13603116.2021.1988159,,https://doi.org/10.1080/13603116.2021.1988159,24,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE020,,,openalex-round2
R2NE021,Cognitive load and neurodiversity in online education: a preliminary framework for educational research and policy,Anne‐Laure Le Cunff; Brandon-Lee Martis; Caitlin M. Glover; E Ahmed; Rhian M. Ford; Vincent Giampietro; Eleanor J. Dommett,2025,Frontiers in Education,journal,10.3389/feduc.2024.1437673,,https://doi.org/10.3389/feduc.2024.1437673,16,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE021,,,openalex-round2
R2NE022,“Not a cookie cutter situation”: how neurodivergent students experience group work in their STEM courses,Sophia Salvatore; C. Dinitra White; Stephen Podowitz‐Thomas,2024,International Journal of STEM Education,journal,10.1186/s40594-024-00508-0,,https://doi.org/10.1186/s40594-024-00508-0,19,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE022,,,openalex-round2
R2NE023,"Emotionally Based School Avoidance in the Aftermath of the COVID-19 Pandemic: Neurodiversity, Agency and Belonging in School",Lorna Hamilton,2024,Education Sciences,journal,10.3390/educsci14020156,,https://doi.org/10.3390/educsci14020156,27,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE023,,,openalex-round2
R2NE024,Autistic People's Access to Bilingualism and Additional Language Learning: Identifying the Barriers and Facilitators for Equal Opportunities,Rachael Davis; Sue Fletcher‐Watson; Bérengère Galadriel Digard,2021,Frontiers in Psychology,journal,10.3389/fpsyg.2021.741182,,https://doi.org/10.3389/fpsyg.2021.741182,28,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE024,,,openalex-round2
R2NE025,"“Interactive lessons are great, but too much is too much”: Hearing out neurodivergent students, Universal Design for Learning and the case for integrating more anonymous technology in higher education",Fatma Canan Durgungöz; Ahmet Durgungöz,2025,Higher Education,journal,10.1007/s10734-024-01389-6,,https://doi.org/10.1007/s10734-024-01389-6,14,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE025,,,openalex-round2
R2NE026,Towards autistic flow theory: A non‐pathologising conceptual approach,Brett Heasman; Gemma Williams; Divine Charura; Lorna Hamilton; Damian Milton; Fergus Murray,2024,Journal for the Theory of Social Behaviour,journal,10.1111/jtsb.12427,,https://doi.org/10.1111/jtsb.12427,20,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE026,,,openalex-round2
R2NE027,"Manual assembly learning, disability, and instructions: an industrial experiment",Jaakko Peltokorpi; Steven Hoedt; Thomas Colman; Kim Rutten; El‐Houssaine Aghezzaf; Johannes Cottyn,2023,International Journal of Production Research,journal,10.1080/00207543.2023.2195957,,https://doi.org/10.1080/00207543.2023.2195957,21,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE027,,,openalex-round2
