record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NA035,"A systematic review evaluating the implementation of technologies to assess, monitor and treat neurodevelopmental disorders: A map of the current evidence",Althea Valentine; Beverley J Brown; Madeleine J. Groom; Emma Young; Chris Hollis; Charlotte L Hall,2020,Clinical Psychology Review,review_article,10.1016/j.cpr.2020.101870,,https://doi.org/10.1016/j.cpr.2020.101870,102,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA035,,,openalex-round2
R2NA036,"Repeated stimulation of the dorsolateral-prefrontal cortex improves executive dysfunctions and craving in drug addiction: A randomized, double-blind, parallel-group study",Jaber Alizadehgoradel; Vahid Nejati; Fariba Sadeghi Movahed; Saeed Imani; Mina Taherifard; Mohsen Mosayebi-Samani; Carmelo M. Vicario; Michael A. Nitsche,2020,Brain stimulation,journal,10.1016/j.brs.2019.12.028,,https://doi.org/10.1016/j.brs.2019.12.028,134,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA036,,,openalex-round2
R2NA037,Understanding basic concepts of developmental diagnosis in children,Kelly Brown; Sonia Parikh; Dilip R. Patel,2020,Translational Pediatrics,journal,10.21037/tp.2019.11.04,,https://doi.org/10.21037/tp.2019.11.04,111,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA037,,,openalex-round2
R2NA038,"ToM &amp; ASD: The interconnection of Theory of Mind with the social-emotional, cognitive development of children with Autism Spectrum Disorder. The use of ICTs as an alternative form of intervention in ASD",Victoria Bamicha; Athanasios Drigas,2022,Technium Social Sciences Journal,journal,10.47577/tssj.v33i1.6845,,https://doi.org/10.47577/tssj.v33i1.6845,86,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA038,,,openalex-round2
R2NA039,"""Parents' views Questionnaire for the education of emotions in Autism Spectrum Disorder"" in a Greek context and the role of ICTs",Irene Chaidi; Athanasios Drigas,2022,Technium Social Sciences Journal,journal,10.47577/tssj.v33i1.6878,,https://doi.org/10.47577/tssj.v33i1.6878,82,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA039,,,openalex-round2
R2NA040,Evaluation of an artificial intelligence-based medical device for diagnosis of autism spectrum disorder,Jonathan Thomas Megerian; Sangeeta Dey; Raun D. Melmed; Daniel L. Coury; Marc Lerner; Christopher J. Nicholls; Kristin Sohl; Rambod Rouhbakhsh,2022,npj Digital Medicine,journal,10.1038/s41746-022-00598-6,,https://doi.org/10.1038/s41746-022-00598-6,97,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA040,,,openalex-round2
R2NA041,Exploring sensory phenotypes in autism spectrum disorder,Nichole E. Scheerer; Kristina Curcin; Bobby Stojanoski; Evdokia Anagnostou; Rob Nicolson; Elizabeth Kelley; Stelios Georgiades; Xudong Liu,2021,Molecular Autism,journal,10.1186/s13229-021-00471-5,,https://doi.org/10.1186/s13229-021-00471-5,60,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA041,,,openalex-round2
R2NA042,Clinical practice guidelines on cognitive impairment and ADHD-Assessment and Management,Savita Malhotra; M. Thomas Kishore; Avinash De Sousa,2025,Indian Journal of Psychiatry,journal,10.4103/indianjpsychiatry.indianjpsychiatry_720_24,,https://doi.org/10.4103/indianjpsychiatry.indianjpsychiatry_720_24,1,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA042,,,openalex-round2
R2NA043,Cognitive training with fully immersive virtual reality in patients with neurological and psychiatric disorders: A systematic review of randomized controlled trials,Frida Simon Jahn; Marie Skovbye; Kia Obenhausen; Andreas Elleby Jespersen; Kamilla Woznica Miskowiak,2021,Psychiatry Research,review_article,10.1016/j.psychres.2021.113928,,https://doi.org/10.1016/j.psychres.2021.113928,91,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA043,,,openalex-round2
R2NA044,A Machine Learning Way to Classify Autism Spectrum Disorder,R. Sujatha; Aarthy Seshadri Lakshminarayanan; Jyotir Moy Chatterjee; Abdulellah A. Alaboudi; N. Z. Jhanjhi,2021,International Journal of Emerging Technologies in Learning (iJET),journal,10.3991/ijet.v16i06.19559,,https://doi.org/10.3991/ijet.v16i06.19559,56,2026-04-10,1,0,1,,,,,,,,,,,,,R2NA044,,,openalex-round2
